...Please Select,0.00
China,8.41
United States,17.54
Afghanistan,0.76
Africa (AVG),2.86
Albania,3.04
Algeria,6.56
Andorra,8.17
Angola,4.03
Antigua and Barbuda,12.56
Argentina,8.91
Armenia,3.38
Asia (AVG),5.66
Australia,24.14
Austria,7.79
Azerbaijan,5.26
Bahamas,8.16
Bahrain,33.15
Bangladesh,1.46
Barbados,13.20
Belarus,6.91
Belgium,9.38
Belize,17.55
Benin,2.18
Bhutan,0.47
Bolivia,12.05
Bosnia and Herzegovina,7.42
Botswana,22.72
Brazil,6.88
Brunei,22.22
Bulgaria,2.50
Burkina Faso,2.77
Burundi,0.70
Cambodia,4.35
Cameroon,4.82
Canada,20.70
Cape Verde,1.36
Central African Republic,9.82
Chad,6.63
Chile,2.92
Colombia,5.37
Comoros,0.82
Congo,5.59
Cook Islands,5.70
Costa Rica,1.68
Cote d'Ivoire,2.00
Croatia,4.34
Cuba,3.37
Cyprus,6.92
Czechia,10.36
Democratic Republic of Congo,7.83
Denmark,7.63
Djibouti,1.42
Dominica,3.06
Dominican Republic,3.70
Ecuador,5.68
Egypt,3.51
El Salvador,2.16
Equatorial Guinea,11.24
Eritrea,1.94
Estonia,11.19
Eswatini,2.34
Ethiopia,1.64
Europe (AVG),7.84
"European Union (27, AVG)",7.08
Fiji,-0.18
Finland,10.56
France,5.41
Gabon,9.06
Gambia,1.22
Georgia,4.41
Germany,8.62
Ghana,0.42
Greece,7.63
Grenada,21.34
Guatemala,2.19
Guinea,3.18
Guinea-Bissau,2.19
Guyana,25.29
Haiti,0.99
Honduras,2.89
Hungary,6.45
Iceland,8.17
India,2.46
Indonesia,7.24
Iran,10.78
Iraq,8.17
Ireland,12.02
Israel,10.24
Italy,6.21
Jamaica,3.44
Japan,8.94
Jordan,3.62
Kazakhstan,14.64
Kenya,1.40
Kiribati,1.02
Kuwait,32.49
Kyrgyzstan,2.13
Laos,5.50
Latvia,4.68
Lebanon,5.12
Lesotho,1.19
Liberia,3.21
Libya,18.69
Liechtenstein,4.21
Lithuania,6.63
Luxembourg,16.57
Madagascar,1.49
Malawi,1.04
Malaysia,12.40
Maldives,4.90
Mali,2.25
Malta,4.84
Marshall Islands,3.91
Mauritania,2.92
Mauritius,5.38
Mexico,5.26
Micronesia (country),2.02
Moldova,3.34
Mongolia,18.34
Montenegro,6.15
Morocco,2.50
Mozambique,3.52
Myanmar,4.50
Namibia,8.51
Nauru,6.50
Nepal,1.69
Netherlands,10.15
New Zealand,15.18
Nicaragua,5.87
Niger,1.89
Nigeria,1.76
Niue,6.20
North America (AVG),12.79
North Korea,3.22
North Macedonia,5.40
Norway,5.02
Oceania (AVG),18.84
Oman,20.16
Pakistan,2.03
Palau,16.11
Panama,5.96
Papua New Guinea,7.23
Paraguay,13.71
Peru,5.86
Philippines,2.19
Poland,8.45
Portugal,6.03
Qatar,40.52
Romania,4.05
Russia,13.20
Rwanda,0.55
Saint Kitts and Nevis,6.62
Saint Lucia,4.05
Saint Vincent and the Grenadines,3.07
Samoa,4.01
Sao Tome and Principe,1.86
Saudi Arabia,21.10
Senegal,2.06
Serbia,7.05
Seychelles,7.98
Sierra Leone,1.21
Singapore,11.59
Slovakia,6.78
Slovenia,8.09
Solomon Islands,69.21
Somalia,2.75
South Africa,9.60
South America,7.18
South Korea,12.74
South Sudan,5.45
Spain,6.27
Sri Lanka,1.78
Sudan,2.97
Suriname,23.79
Sweden,2.98
Switzerland,5.15
Syria,2.84
Tajikistan,1.86
Tanzania,2.67
Thailand,6.28
Timor,4.93
Togo,1.08
Tonga,2.97
Trinidad and Tobago,20.41
Tunisia,3.23
Turkey,5.51
Turkmenistan,26.48
Tuvalu,2.57
Uganda,1.34
Ukraine,5.03
United Arab Emirates,24.93
United Kingdom,6.35
Uruguay,9.93
Uzbekistan,5.62
Vanuatu,2.90
Venezuela,10.51
Vietnam,4.54
World,6.45
Yemen,0.87
Zambia,5.12
Zimbabwe,8.05
